attendee_id  attendee_name  festival_year  events_attended
-----------  -------------  -------------  ---------------
3            Att2 User      2016           4              
4            Att3 User      2016           4              
5            Att4 User      2016           4              
6            Att5 User      2016           4              
7            Att6 User      2016           4              
8            Att7 User      2016           4              
9            Att8 User      2016           4              
10           Att9 User      2016           4              
11           Att10 User     2016           4              
12           Att11 User     2016           4              
3            Att2 User      2017           4              
4            Att3 User      2017           4              
5            Att4 User      2017           4              
6            Att5 User      2017           4              
7            Att6 User      2017           4              
8            Att7 User      2017           4              
9            Att8 User      2017           4              
10           Att9 User      2017           4              
11           Att10 User     2017           4              
12           Att11 User     2017           4              
13           Att12 User     2017           4              
14           Att13 User     2017           4              
15           Att14 User     2017           4              
16           Att15 User     2017           4              
17           Att16 User     2017           4              
18           Att17 User     2017           4              
19           Att18 User     2017           4              
20           Att19 User     2017           4              
21           Att20 User     2017           4              
22           Att21 User     2017           4              
23           Att22 User     2017           4              
24           Att23 User     2017           4              
25           Att24 User     2017           4              
26           Att25 User     2017           4              
27           Att26 User     2017           4              
28           Att27 User     2017           4              
29           Att28 User     2017           4              
30           Att29 User     2017           4              
31           Att30 User     2017           4              
32           Att31 User     2017           4              
33           Att32 User     2017           4              
34           Att33 User     2017           4              
35           Att34 User     2017           4              
36           Att35 User     2017           4              
37           Att36 User     2017           4              
39           Att38 User     2017           4              
40           Att39 User     2017           4              
41           Att40 User     2017           4              
47           Att46 User     2017           4              
3            Att2 User      2018           4              
4            Att3 User      2018           4              
5            Att4 User      2018           4              
6            Att5 User      2018           4              
7            Att6 User      2018           4              
8            Att7 User      2018           4              
9            Att8 User      2018           4              
10           Att9 User      2018           4              
11           Att10 User     2018           4              
12           Att11 User     2018           4              
13           Att12 User     2018           4              
14           Att13 User     2018           4              
15           Att14 User     2018           4              
16           Att15 User     2018           4              
17           Att16 User     2018           4              
18           Att17 User     2018           4              
19           Att18 User     2018           4              
20           Att19 User     2018           4              
21           Att20 User     2018           4              
22           Att21 User     2018           4              
23           Att22 User     2018           4              
24           Att23 User     2018           4              
25           Att24 User     2018           4              
26           Att25 User     2018           4              
27           Att26 User     2018           4              
28           Att27 User     2018           4              
3            Att2 User      2019           4              
4            Att3 User      2019           4              
5            Att4 User      2019           4              
6            Att5 User      2019           4              
7            Att6 User      2019           4              
8            Att7 User      2019           4              
17           Att16 User     2020           5              
19           Att18 User     2020           5              
3            Att2 User      2020           4              
4            Att3 User      2020           4              
5            Att4 User      2020           4              
6            Att5 User      2020           4              
7            Att6 User      2020           4              
8            Att7 User      2020           4              
9            Att8 User      2020           4              
10           Att9 User      2020           4              
11           Att10 User     2020           4              
12           Att11 User     2020           4              
13           Att12 User     2020           4              
14           Att13 User     2020           4              
15           Att14 User     2020           4              
16           Att15 User     2020           4              
18           Att17 User     2020           4              
20           Att19 User     2020           4              
21           Att20 User     2020           4              
22           Att21 User     2020           4              
23           Att22 User     2020           4              
24           Att23 User     2020           4              
25           Att24 User     2020           4              
1235         Att1234 User   2020           4              
3            Att2 User      2021           4              
4            Att3 User      2021           4              
5            Att4 User      2021           4              
12           Att11 User     2022           5              
14           Att13 User     2022           5              
31           Att30 User     2022           5              
35           Att34 User     2022           5              
43           Att42 User     2022           5              
46           Att45 User     2022           5              
3            Att2 User      2022           4              
4            Att3 User      2022           4              
5            Att4 User      2022           4              
6            Att5 User      2022           4              
7            Att6 User      2022           4              
8            Att7 User      2022           4              
9            Att8 User      2022           4              
10           Att9 User      2022           4              
11           Att10 User     2022           4              
13           Att12 User     2022           4              
15           Att14 User     2022           4              
16           Att15 User     2022           4              
17           Att16 User     2022           4              
18           Att17 User     2022           4              
19           Att18 User     2022           4              
20           Att19 User     2022           4              
21           Att20 User     2022           4              
22           Att21 User     2022           4              
23           Att22 User     2022           4              
24           Att23 User     2022           4              
25           Att24 User     2022           4              
26           Att25 User     2022           4              
27           Att26 User     2022           4              
28           Att27 User     2022           4              
29           Att28 User     2022           4              
30           Att29 User     2022           4              
32           Att31 User     2022           4              
33           Att32 User     2022           4              
34           Att33 User     2022           4              
36           Att35 User     2022           4              
37           Att36 User     2022           4              
38           Att37 User     2022           4              
39           Att38 User     2022           4              
40           Att39 User     2022           4              
41           Att40 User     2022           4              
42           Att41 User     2022           4              
44           Att43 User     2022           4              
45           Att44 User     2022           4              
47           Att46 User     2022           4              
48           Att47 User     2022           4              
49           Att48 User     2022           4              
50           Att49 User     2022           4              
51           Att50 User     2022           4              
52           Att51 User     2022           4              
3            Att2 User      2023           4              
4            Att3 User      2023           4              
5            Att4 User      2023           4              
6            Att5 User      2023           4              
7            Att6 User      2023           4              
8            Att7 User      2023           4              
9            Att8 User      2023           4              
10           Att9 User      2023           4              
11           Att10 User     2023           4              
12           Att11 User     2023           4              
13           Att12 User     2023           4              
14           Att13 User     2023           4              
15           Att14 User     2023           4              
16           Att15 User     2023           4              
17           Att16 User     2023           4              
18           Att17 User     2023           4              
19           Att18 User     2023           4              
20           Att19 User     2023           4              
21           Att20 User     2023           4              
22           Att21 User     2023           4              
23           Att22 User     2023           4              
24           Att23 User     2023           4              
25           Att24 User     2023           4              
26           Att25 User     2023           4              
27           Att26 User     2023           4              
28           Att27 User     2023           4              
29           Att28 User     2023           4              
30           Att29 User     2023           4              
31           Att30 User     2023           4              
32           Att31 User     2023           4              
33           Att32 User     2023           4              
34           Att33 User     2023           4              
35           Att34 User     2023           4              
36           Att35 User     2023           4              
37           Att36 User     2023           4              
38           Att37 User     2023           4              
39           Att38 User     2023           4              
40           Att39 User     2023           4              
1            Att0 User      2024           5              
20           Att19 User     2024           5              
39           Att38 User     2024           5              
3            Att2 User      2024           4              
4            Att3 User      2024           4              
5            Att4 User      2024           4              
6            Att5 User      2024           4              
7            Att6 User      2024           4              
8            Att7 User      2024           4              
9            Att8 User      2024           4              
10           Att9 User      2024           4              
11           Att10 User     2024           4              
12           Att11 User     2024           4              
13           Att12 User     2024           4              
14           Att13 User     2024           4              
15           Att14 User     2024           4              
16           Att15 User     2024           4              
17           Att16 User     2024           4              
18           Att17 User     2024           4              
19           Att18 User     2024           4              
21           Att20 User     2024           4              
22           Att21 User     2024           4              
23           Att22 User     2024           4              
24           Att23 User     2024           4              
25           Att24 User     2024           4              
26           Att25 User     2024           4              
27           Att26 User     2024           4              
28           Att27 User     2024           4              
29           Att28 User     2024           4              
30           Att29 User     2024           4              
31           Att30 User     2024           4              
32           Att31 User     2024           4              
33           Att32 User     2024           4              
34           Att33 User     2024           4              
35           Att34 User     2024           4              
36           Att35 User     2024           4              
37           Att36 User     2024           4              
38           Att37 User     2024           4              
40           Att39 User     2024           4              
41           Att40 User     2024           4              
42           Att41 User     2024           4              
43           Att42 User     2024           4              
44           Att43 User     2024           4              
45           Att44 User     2024           4              
46           Att45 User     2024           4              
47           Att46 User     2024           4              
48           Att47 User     2024           4              
3            Att2 User      2025           4              
4            Att3 User      2025           4              
5            Att4 User      2025           4              
6            Att5 User      2025           4              
7            Att6 User      2025           4              
8            Att7 User      2025           4              
9            Att8 User      2025           4              
10           Att9 User      2025           4              
11           Att10 User     2025           4              
12           Att11 User     2025           4              
13           Att12 User     2025           4              
14           Att13 User     2025           4              
15           Att14 User     2025           4              
16           Att15 User     2025           4              
17           Att16 User     2025           4              
18           Att17 User     2025           4              
19           Att18 User     2025           4              
20           Att19 User     2025           4              
21           Att20 User     2025           4              
22           Att21 User     2025           4              
3            Att2 User      2026           4              
4            Att3 User      2026           4              
5            Att4 User      2026           4              
6            Att5 User      2026           4              
7            Att6 User      2026           4              
8            Att7 User      2026           4              
9            Att8 User      2026           4              
10           Att9 User      2026           4              
12           Att11 User     2026           4              
13           Att12 User     2026           4              
3            Att2 User      2027           4              
4            Att3 User      2027           4              
5            Att4 User      2027           4              
6            Att5 User      2027           4              
7            Att6 User      2027           4              
8            Att7 User      2027           4              
9            Att8 User      2027           4              
10           Att9 User      2027           4              
11           Att10 User     2027           4              
12           Att11 User     2027           4              
13           Att12 User     2027           4              
14           Att13 User     2027           4              
15           Att14 User     2027           4              
16           Att15 User     2027           4              
17           Att16 User     2027           4              
18           Att17 User     2027           4              
19           Att18 User     2027           4              
20           Att19 User     2027           4              
21           Att20 User     2027           4              
22           Att21 User     2027           4              
23           Att22 User     2027           4              
24           Att23 User     2027           4              
25           Att24 User     2027           4              
26           Att25 User     2027           4              
27           Att26 User     2027           4              
28           Att27 User     2027           4              
29           Att28 User     2027           4              
30           Att29 User     2027           4              
