event_id  event_title  avg_event_rating
--------  -----------  ----------------
1         2020 Day 1   5.0000          
2         2020 Day 2   5.0000          
3         2020 Day 3   5.0000          
7         2025 Day 1   NULL            
8         2025 Day 2   NULL            
9         2025 Day 3   5.0000          
10        2025 Day 4   5.0000          
11        2025 Day 5   NULL            
15        2016 Day 4   5.0000          
18        2017 Day 2   5.0000          
19        2017 Day 3   5.0000          
24        2021 Day 3   5.0000          
25        2021 Day 4   5.0000          
27        2026 Day 1   5.0000          
31        2026 Day 5   5.0000          
35        2022 Day 4   5.0000          
41        2027 Day 4   5.0000          
47        2018 Day 2   5.0000          
51        2024 Day 1   NULL            
52        2024 Day 2   NULL            
53        2024 Day 3   NULL            
54        2024 Day 4   NULL            
55        2024 Day 5   NULL            
